fold,scale,rmse,mae,rse,r2,n_labeled,n_train,n_test,best_params
0,100,160.90662940461542,105.30719030341103,0.11963987527495196,0.8803601247250481,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
1,100,118.33971204531358,69.85539215384624,0.1514127707115647,0.8485872292884353,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
2,100,69.58229675496696,35.054478809162475,0.06547792169257752,0.9345220783074225,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
3,100,96.38804156224488,61.09344669583726,0.03720321393741527,0.9627967860625848,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
4,100,116.75265536388642,83.54281849151381,0.07098731677155731,0.9290126832284427,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
5,100,138.1978209154286,88.06124133130626,0.1239178221800217,0.8760821778199783,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
6,100,124.92678820294437,81.86486654026949,0.08289529373444834,0.9171047062655516,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
7,100,143.77545194176963,94.23528650606882,0.15361007549815833,0.8463899245018417,23040,23040,10080,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.1}"
